State Name,Grade Description,Credit Grade Count,Credit Grade Count (%)
State of California,Grade A,1368272,39.04
State of California,Grade B,617801,17.63
State of California,Grade C,322876,39.04
State of California,Grade D,78609,17.63
State of California,Grade F,190980,39.04
State of California,Pass,144501,17.63
State of California,No Pass,33741,39.04
State of California,Incomplete No Credit,20126,17.63
State of California,Report Delayed,5722,39.04
State of California,Dropped,7729,17.63
State of California,Withdrew,173982,39.04
State of California,Military Withdrawal,96,17.63
State of California,Excused Withdrawal,540021,39.04
